pattern_label,pattern_desc,obj_id,ddb_url,title,has_dot_dash,f_title,f_other_title,f_person,f_person_compound,f_parallel,f_edition,f_year,f_place,f_publisher,f_series,f_volume,n_fields,silver_tier
space_colon,Other title information ( : ),UBMFYC2EUGMB3Q5FK65JZMRFMVJXA3E4,https://ddb.de/item/UBMFYC2EUGMB3Q5FK65JZMRFMVJXA3E4,Die höchstnöthige Sterbe-Schule : Bey Christlicher Beerdigung Der ... Fr. Marien Elisabeth von Schönberg/ Gebohrnen von Ende/ Des ... Caspar Dietrichs von Schönberg ... Frau Witben/ Als Dieselbe Am 21. Februarii 1690. ... verschieden/ und darauff den 18. Martii ... in das Hoch-Adel. Erb-Begräbniß eingesencket wurde ... aus Psal. XXXIX. v. 6. ... vorgestellet,False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),PBKMFCEQ2CM622H4SXHBIA5KYYJUQO6U,https://ddb.de/item/PBKMFCEQ2CM622H4SXHBIA5KYYJUQO6U,Assaphs Und einer jglichen gleubigen Seele Fewrige Liebe gegen Gott/ aus dem 25. und 26. v. des 73. Psalms : Bey ... Leichbegängnüß/ Der ... Frawen Sibyllae gebohrne Schenckin/ Frey-Frawen zu Tautenburg/ Deß ... Herrn Ludwich Sigmunds von Pudewelssen ... Ehfrawen/ in Schiffenburgischer Kirchen den 16. May Anno 1647. gezeiget und geprediget,False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),K74VAL7PLJW2K7J5HPJURCYGPUBK6BUV,https://ddb.de/item/K74VAL7PLJW2K7J5HPJURCYGPUBK6BUV,Warhafftiger Abtruck gleichlautender Copey Kaysers Rudolffi des Anderen Käys. Mandati und Befelch an die Tumultuirende des Kon. Stuels unnd Heyligen Reichs Statt Aach : Affigirt unnd publicirt in bemelter Statt Aach den 29. Novembris Anno 1611. ...,False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),YZL5ED56RIBZFFX4PFRVFT5SH4NBKKDK,https://ddb.de/item/YZL5ED56RIBZFFX4PFRVFT5SH4NBKKDK,Leich-Schrifften Uber den trawrigen jedoch Christseeligen Abscheid Der ... Magdalenen/ geborner Ringlerin/ Deß ... Herrn Johann Georg Saladins ... Ehelichen Hertzgeliebten Haußfrawen : Welche ... Gott ... zu sich in die ewige Frewd abgefordert/ den 4. Augusti ... 1637. ...,False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),S3XWCXJRD7XNICB3UQKGJLXLARZELJTT,https://ddb.de/item/S3XWCXJRD7XNICB3UQKGJLXLARZELJTT,Johannis von der Behr/ Neun-Jährige Ost-Indianische Reise : So Er meistentheils in Diensten der vereinigten geoctroyrten Niderländischen Ost-Indianischen Compagnie zu Wasser und Lande verrichtet ; Worbey Der Inwohner Glauben/ Leben/ Sitten und Kleidung .... auffgeschrieben/ abgerissen und mit Kupffern gezieret ; Alles auffs neue übersehen/ durch und durch mit vielen nöthigen Anweisungen verbessert,False,1,1,0,0,0,0,0,0,0,0,0,2,0
space_colon,Other title information ( : ),7UYLSMJKMZMTUOHY6G22VLIGAK4FMODB,https://ddb.de/item/7UYLSMJKMZMTUOHY6G22VLIGAK4FMODB,Euthanasia Reuteriana Reuterischer seliger Todt Des Weyland Ehrnvesten/ Achtbarn/ Wolgelarten und Wolweisen Herrn Cunradi Reuters/ des Eltern/ uber Dreißig Jahr wolverdienten Burgermeisters zu Bitterfeldt : Welcher am heiligen PfingstTage ... war der 28. Maii des 1626. Jahres ... entschlaffen/ und folgends den 30. Eiusdem ... zur Erden bestattet worden,False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),6XAXVOMWDAE7DS25CWPREFCGXPUJU4CE,https://ddb.de/item/6XAXVOMWDAE7DS25CWPREFCGXPUJU4CE,"Euthanasia Apostolica, Das ist/ Apostolische Sterbekunst : aus der 2. Epist. Pauli an Timoth. c. 4. vers. 6, 7. 8. In einer Christlichen Ehrn- und LeichPredigt/ Bey Des ... Herrn Davidis Herlicii ... Leichbestattung/ Welche Anno 1636. 24. Augusti ... in Newen Stargard an der Ina ... ansehnlich angestellet worden. Anffgesucht und Einfaltig fürgetragen",False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),UQKFFCIMVV2WIBCXZG3FJFW55Z4G2VLE,https://ddb.de/item/UQKFFCIMVV2WIBCXZG3FJFW55Z4G2VLE,"Gerhard Kittel (1888-1948), Nachlass-Splitter : Theologisches Wörterbuch zum Neuen Testament",False,1,1,0,0,0,0,1,0,0,0,0,3,1
space_colon,Other title information ( : ),4TYUFGNNO7NNMCFIMHRALX3D4EHYUEMI,https://ddb.de/item/4TYUFGNNO7NNMCFIMHRALX3D4EHYUEMI,Frantzösische Zeittung : Warhaffte kurtze Beschreibung/ Welcher massen Heinricus der dritte diß Namens Regierender König in Franckreich zu Bloiß ... Beyde Herren von Guisa hinrichten lassen ... Auch von der Alten Königin Todt/ beneben vermelten Fürstlichen und Anderen Hohen Personen so gefangen/ und auf dem Schloß Amboesa gefengklich verwahrt ; Auß Frantzisischer Sprach translatirt,False,1,1,0,0,0,0,0,0,0,0,0,2,0
space_colon,Other title information ( : ),V3ECFLDKPIPMBNWF4KG3PL3OASEE5JPU,https://ddb.de/item/V3ECFLDKPIPMBNWF4KG3PL3OASEE5JPU,Die Selbst(er)findung des neuen Menschen :zur Entstehung narrativer Identitätsmuster im Pietismus,False,1,1,0,0,0,0,0,0,0,0,0,2,0
