obj_id,title,ddb_url,heuristic_class,true_class,notes
I2LI2D45NQ6E2R65B6V5AXDIRNEQIUW2,Taxe für die Teichgräber. No. 27.,https://ddb.de/item/I2LI2D45NQ6E2R65B6V5AXDIRNEQIUW2,ORDINAL,ORDINAL,trailing Arabic numeral ordinal
ERKVYCNHAIJ6PK44ZCPQPRKUU7ADDPCW,Eine selbstschreibende Atwoodsche Fallmaschine.,https://ddb.de/item/ERKVYCNHAIJ6PK44ZCPQPRKUU7ADDPCW,OTHER,NATURAL,short title or heading ending with period
TD2IOAETX7LTKVBJH73A2FOBX4SG3WC6,Das Kupfferblatt N. M. Der Dritte Grundriß deß Hospittals.,https://ddb.de/item/TD2IOAETX7LTKVBJH73A2FOBX4SG3WC6,SENTENCE,NATURAL,"long prose string (≥8 tokens, no ISBD markers)"
JGDB2TMCPS5ZHB5EHCPHMMHD7X4IEURA,Meinen Gegnern und Gegnerinnen zugeeignet.,https://ddb.de/item/JGDB2TMCPS5ZHB5EHCPHMMHD7X4IEURA,OTHER,NATURAL,short title or heading ending with period
2AYOJBMGNVC6BKUIXPMTPRMYU2XUEVOV,Nothwendige Anmerckungen über die vierzehende Handlung.,https://ddb.de/item/2AYOJBMGNVC6BKUIXPMTPRMYU2XUEVOV,SENTENCE,NATURAL,short title or heading ending with period
BE2I5Y5KZPVJK5WKPFNNA3SEPYXBE5DY,"§. XXX. Regula Cäci aut Virginum, das heißt, Blinder oder Jungfern Rechnung.",https://ddb.de/item/BE2I5Y5KZPVJK5WKPFNNA3SEPYXBE5DY,SENTENCE,NATURAL,"long prose string (≥8 tokens, no ISBD markers)"
YVC47V6BOBT2CIFU65OU7ODSEIHI4C47,"Den Grooten en Witten Duyvel, Das ist: Eine klare Fürstellung und Erweisung, daß der König von Franckreich nicht durch Gewalt oder Waffen, sondern durch boßhafftige Direction und Anleitung Jan de Witt, Pensionarii, und dessen Grossen (Groots) Anhängern, unter dem Geschütz der güldenen Loysen so viel Städte und Festungen unsers lieben Vaterlandes, unter seinen Gehorsam bekommen hat :Hier sind auch beygefüget einige Considerationes oder Bedencken, betreffend die Straffe ...",https://ddb.de/item/YVC47V6BOBT2CIFU65OU7ODSEIHI4C47,SENTENCE,NATURAL,short title or heading ending with period
4PEND6XTSRDG2E567AWER2DAEEDDID52,Jahresbericht der Steuerdeputation für das Jahr 1914. I. Teil.,https://ddb.de/item/4PEND6XTSRDG2E567AWER2DAEEDDID52,ABBREV,ABBREV,trailing abbreviation token: teil.
C64VIYXS2MGJGVGPYPNYCOJ3EU4XPH7E,Inhalt.,https://ddb.de/item/C64VIYXS2MGJGVGPYPNYCOJ3EU4XPH7E,OTHER,NOISE,single-word or fragment entry
K3DR7K5MVKBZXZLY72QNCIMT2VHYAQEE,"783-784, Vorwort.",https://ddb.de/item/K3DR7K5MVKBZXZLY72QNCIMT2VHYAQEE,OTHER,NOISE,single-word or fragment entry
CM3VI7TVCO3QYXVDUV2FFSNPWOZQJERW,Einführung in die Benutzung der Ressourcen DGD und FOLK für gesprächsanalytische Zwecke. Handreichung: Metapragmatische Modalisierungen.,https://ddb.de/item/CM3VI7TVCO3QYXVDUV2FFSNPWOZQJERW,SENTENCE,NATURAL,"long prose string (≥8 tokens, no ISBD markers)"
7B4FSATPMMSAZBEFOYEXVRKSXUQ3CVNY,Vorerinnerung.,https://ddb.de/item/7B4FSATPMMSAZBEFOYEXVRKSXUQ3CVNY,OTHER,NOISE,single-word or fragment entry
62M5P2CZLTHMQVFOIYYKUE4FY2SHGAKS,Das XXIX. Capitel. Eine ernstliche Vermahnung/ zur ...,https://ddb.de/item/62M5P2CZLTHMQVFOIYYKUE4FY2SHGAKS,SENTENCE,NATURAL,"long prose string (≥8 tokens, no ISBD markers)"
HOPUKUKV5VJOGJG6EVR63UF5RUD3XGG2,"Neuntes Kapitel. Sein übriges Verhalten in dem Profeßhause; Bewahrung der Augen, Gehorsam. - Dreyzehentes Kapitel. Aloysius reiset mit dem P. Piscator nach Neapel; seine allda gegebene Tugendbeyspiel.",https://ddb.de/item/HOPUKUKV5VJOGJG6EVR63UF5RUD3XGG2,ISBD_CLOSE,ISBD_CLOSE,contains `. -` area separator
VEUB2PVI6PKPJGZH2TJDDUZ4TEIFCR4X,Am 1. Sonntag nach dem Fest der Erscheinung Christi. - Am 4. Sonntag nach der Erscheinung Christi.,https://ddb.de/item/VEUB2PVI6PKPJGZH2TJDDUZ4TEIFCR4X,ISBD_CLOSE,ISBD_CLOSE,contains `. -` area separator
3KSWHCHG6SWTXTBAHKW6UV5T3MT4HKZI,Feste Erdharze. - Gemeine Metalle.,https://ddb.de/item/3KSWHCHG6SWTXTBAHKW6UV5T3MT4HKZI,ISBD_CLOSE,ISBD_CLOSE,contains `. -` area separator
Z3M3767R7475FOBOOAN4NAVSGLDRHJFQ,Caput XVI. Vom Beschreyen und Mit-Essern.,https://ddb.de/item/Z3M3767R7475FOBOOAN4NAVSGLDRHJFQ,SENTENCE,NATURAL,short title or heading ending with period
MTPYV3DHGYTUCO6GV6QZ4VNWDI2PQLSY,Die letzten zwey beschlissliche vnd aller krefftigste büchleyn M. Petri Syluij so das Lutherisch thun an seyner person ... gründlich handeln vnd ... entplossen :Jm ersten wird erklert wie Luther durch betriegliche dewtung der schrifft hat verworffen alles was der ewige Gott ... zu gleuben ... geboten ... Jm andern büchleyn werden krefftiglich erklert ... Sechzehen warhafftige vnd gantz nothafftige Artickeln ...,https://ddb.de/item/MTPYV3DHGYTUCO6GV6QZ4VNWDI2PQLSY,SENTENCE,NATURAL,short title or heading ending with period
