era,dc_type,count,era_total,pct
1700-1800,Monografie,104394,155611,67.09
1700-1800,Verordnung,3054,155611,1.96
1700-1800,Gelegenheitsschrift:Tod,1659,155611,1.07
1700-1800,Widmung,1578,155611,1.01
1700-1800,Verordnung|Einblattdruck,1529,155611,0.98
1700-1800,Brief,1282,155611,0.82
1700-1800,Monograph,1223,155611,0.79
1700-1800,Lied,1197,155611,0.77
1700-1800,Handschrift,1170,155611,0.75
1700-1800,Libretto,1146,155611,0.74
1700-1800,Leichenpredigt,1087,155611,0.7
1700-1800,Lyrik,1082,155611,0.7
1700-1800,Traktat,1065,155611,0.68
1700-1800,Amtsdruckschrift,970,155611,0.62
1700-1800,Einblattdruck|Verordnung,932,155611,0.6
1700-1800,Gelegenheitsschrift:Tod|Epikedeion,730,155611,0.47
1700-1800,Medizin,726,155611,0.47
1700-1800,Streitschrift:theol.,725,155611,0.47
1700-1800,Erbauungsliteratur,718,155611,0.46
1700-1800,Streitschrift:jur.,671,155611,0.43
1700-1800,mehrbändiges Werk,660,155611,0.42
1700-1800,Gelegenheitsschrift:Tod|Lyrik,619,155611,0.4
1700-1800,Roman,600,155611,0.39
1700-1800,Komödie,588,155611,0.38
1700-1800,Predigt,530,155611,0.34
1700-1800,Musik,526,155611,0.34
1700-1800,Streitschrift,461,155611,0.3
1700-1800,Gelegenheitsschrift:Hochzeit|Lyrik,458,155611,0.29
1700-1800,Flugschrift,434,155611,0.28
1700-1800,Schauspiel,409,155611,0.26
1700-1800,Amtsdruckschrift|Einblattdruck,398,155611,0.26
1700-1800,Epik,384,155611,0.25
1700-1800,Gesangbuch,323,155611,0.21
1700-1800,Predigtsammlung,319,155611,0.2
1700-1800,Drama,315,155611,0.2
1700-1800,Tragödie,296,155611,0.19
1700-1800,Rede,283,155611,0.18
1700-1800,Gelegenheitsschrift:Hochzeit,273,155611,0.18
1700-1800,book,272,155611,0.17
1700-1800,Fortlaufendes Sammelwerk,247,155611,0.16
1700-1800,Konsilium,238,155611,0.15
1700-1800,Kriegskunde,235,155611,0.15
1700-1800,Biographie,228,155611,0.15
1700-1800,Auktionskatalog,212,155611,0.14
1700-1800,Amtsdruckschrift|Verordnung,209,155611,0.13
1700-1800,Satire,207,155611,0.13
1700-1800,Epikedeion,201,155611,0.13
1700-1800,Einblattdruck,198,155611,0.13
1700-1800,Einblattdruck|Amtsdruckschrift,195,155611,0.13
1700-1800,Reisebericht,195,155611,0.13
1700-1800,Katechismus,187,155611,0.12
1700-1800,Briefsammlung,184,155611,0.12
1700-1800,Gebetbuch,184,155611,0.12
1700-1800,Edikt,180,155611,0.12
1700-1800,Verordnung|Amtsdruckschrift,177,155611,0.11
1700-1800,Erzählung,176,155611,0.11
1700-1800,Schulbuch,155,155611,0.1
1700-1800,Ratgeber,154,155611,0.1
1700-1800,Kommentar: theol.,153,155611,0.1
1700-1800,Kolportageliteratur,150,155611,0.1
1700-1800,Gelegenheitsschrift:Geburtstag|Lyrik,149,155611,0.1
1700-1800,Liedersammlung,146,155611,0.09
1700-1800,Gesangbuch|Gebetbuch,141,155611,0.09
1700-1800,Bücheranzeige,140,155611,0.09
1700-1800,Pädagogik,136,155611,0.09
1700-1800,Schulprogramm|Gelegenheitsschrift:Einladung,136,155611,0.09
1700-1800,Liedersammlung|Flugschrift,135,155611,0.09
1700-1800,Streitschrift:polit.,131,155611,0.08
1700-1800,Amtsdruckschrift|Verordnung|Einblattdruck,124,155611,0.08
1700-1800,Landwirtschaft,121,155611,0.08
1700-1800,Handbuch,120,155611,0.08
1700-1800,Gelegenheitsschrift:Tod|Leichenpredigt,119,155611,0.08
1700-1800,Grammatik,118,155611,0.08
1700-1800,Gelegenheitsschrift:Amtsantritt|Lyrik,117,155611,0.08
1700-1800,Anleitung,109,155611,0.07
1700-1800,Kriegskunde|Flugschrift,109,155611,0.07
1700-1800,Topographie,109,155611,0.07
1700-1800,Gelegenheitsschrift:Tod|Rede,107,155611,0.07
1700-1800,Geldwesen,100,155611,0.06
1700-1800,Gelegenheitsschrift:Tod|Biographie,100,155611,0.06
1700-1800,Alchemie,99,155611,0.06
1700-1800,Gelegenheitsschrift:Geburtstag,99,155611,0.06
1700-1800,Lyrik|Gelegenheitsschrift:Tod,99,155611,0.06
1700-1800,Quelle,99,155611,0.06
1700-1800,Epikedeion|Gelegenheitsschrift:Tod,97,155611,0.06
1700-1800,Tiermedizin,97,155611,0.06
1700-1800,Mathematik,93,155611,0.06
1700-1800,Schulprogramm,93,155611,0.06
1700-1800,Bibel,91,155611,0.06
1700-1800,Gelegenheitsschrift:Amtsantritt,91,155611,0.06
1700-1800,Chronik,90,155611,0.06
1700-1800,Gelegenheitsschrift,90,155611,0.06
1700-1800,Gelegenheitsschrift|Lyrik,89,155611,0.06
1700-1800,Gelegenheitsschrift:Promotion|Lyrik,88,155611,0.06
1700-1800,Gelegenheitsschrift:Jubiläum,81,155611,0.05
1700-1800,Leichenpredigt|Gelegenheitsschrift:Tod,80,155611,0.05
1700-1800,Astronomie,79,155611,0.05
1700-1800,Anthologie,78,155611,0.05
1700-1800,Leichenpredigt|Biographie,78,155611,0.05
1700-1800,Geographie,77,155611,0.05
1700-1800,Freimaurerliteratur,76,155611,0.05
1700-1800,Altertumskunde,73,155611,0.05
1700-1800,Gynäkologie,72,155611,0.05
1700-1800,Gelegenheitsschrift|Libretto,71,155611,0.05
1700-1800,Einführung,70,155611,0.04
1700-1800,Verordnung|Tabelle,64,155611,0.04
1700-1800,Lyrik|Gelegenheitsschrift:Hochzeit,63,155611,0.04
1700-1800,Frauenliteratur,61,155611,0.04
1700-1800,Genealogie,61,155611,0.04
1700-1800,Gelegenheitsschrift:Promotion,58,155611,0.04
1700-1800,Privileg,58,155611,0.04
1700-1800,Gelegenheitsschrift:Einladung,56,155611,0.04
1700-1800,Verkaufskatalog,56,155611,0.04
1700-1800,Charter,55,155611,0.04
1700-1800,Gelegenheitsschrift:Gedenken,54,155611,0.03
1700-1800,Briefsteller,50,155611,0.03
1700-1800,Chirurgie,50,155611,0.03
1700-1800,Gelegenheitsschrift:Abschied|Lyrik,50,155611,0.03
1700-1800,Kochbuch,50,155611,0.03
1700-1800,Kommentar: jur.,50,155611,0.03
1700-1800,Vertrag,50,155611,0.03
1700-1800,Hochschulschrift,49,155611,0.03
1700-1800,Leichenpredigt|Epikedeion,49,155611,0.03
1700-1800,Jugendsachbuch,48,155611,0.03
1700-1800,Physik,48,155611,0.03
1700-1800,Tabelle,48,155611,0.03
1700-1800,Gelegenheitsschrift:Jubiläum|Lyrik,47,155611,0.03
1700-1800,Gelegenheitsschrift:Tod|Lyrik|Epikedeion,47,155611,0.03
1700-1800,Jugendbuch,46,155611,0.03
1700-1800,Wörterbuch,45,155611,0.03
1700-1800,Zoologie,45,155611,0.03
1700-1800,multivolume monograph,44,155611,0.03
1700-1800,Lyrik|Gelegenheitsschrift,43,155611,0.03
1700-1800,Geldwesen|Verordnung|Einblattdruck,42,155611,0.03
1700-1800,Gelegenheitsschrift:Geburt|Lyrik,41,155611,0.03
1700-1800,Libretto|Gelegenheitsschrift,41,155611,0.03
1700-1800,Streitschrift:jur.|Konsilium,41,155611,0.03
1700-1800,Buchhandelskatalog,40,155611,0.03
1700-1800,Ordensliteratur:Jesuiten,40,155611,0.03
1700-1800,Anstandsliteratur,39,155611,0.03
1700-1800,Musikbuch,39,155611,0.03
1700-1800,Lyrik|Gelegenheitsschrift:Geburtstag,38,155611,0.02
1700-1800,Architektur,37,155611,0.02
1700-1800,Arzneibuch,37,155611,0.02
1700-1800,Drama|Komödie,37,155611,0.02
1700-1800,Erzählung|Roman,36,155611,0.02
1700-1800,Gebet,36,155611,0.02
1700-1800,Gebetbuch|Gesangbuch,36,155611,0.02
1700-1800,Gelegenheitsschrift:Einladung|Schulprogramm,36,155611,0.02
1700-1800,Libretto|Gelegenheitsschrift:Geburtstag,36,155611,0.02
1700-1800,Lyrik|Gelegenheitsschrift:Amtsantritt,36,155611,0.02
1700-1800,Gelegenheitsschrift:Begrüßung|Lyrik,35,155611,0.02
1700-1800,Gelegenheitsschrift:Hochzeit|Gelegenheitsschrift:Begrüßung|Lyrik,35,155611,0.02
1700-1800,Lied|Flugschrift,35,155611,0.02
1700-1800,Auktionskatalog|Geldwesen,34,155611,0.02
1700-1800,Botanik,34,155611,0.02
1700-1800,Geldwesen|Verordnung,34,155611,0.02
1700-1800,Gelegenheitsschrift:Gedenken|Libretto,34,155611,0.02
1700-1800,Geometrie,34,155611,0.02
1700-1800,Konsilium|Streitschrift:jur.,34,155611,0.02
1700-1800,Preisschrift,34,155611,0.02
1700-1800,Chemie,33,155611,0.02
1700-1800,Gesetzessammlung,33,155611,0.02
1700-1800,Rede|Gelegenheitsschrift:Tod,33,155611,0.02
1700-1800,Gelegenheitsschrift:Fest,32,155611,0.02
1700-1800,Manuscript,31,155611,0.02
1700-1800,Bibliographie,30,155611,0.02
1700-1800,Fabel,29,155611,0.02
1700-1800,Hausväterliteratur,29,155611,0.02
1700-1800,Medizin|Ratgeber,29,155611,0.02
1700-1800,Subskribentenliste,29,155611,0.02
1700-1800,Gelegenheitsschrift:Geburtstag|Libretto,28,155611,0.02
1700-1800,Gelegenheitsschrift:Konversion,28,155611,0.02
1700-1800,Rechenbuch,28,155611,0.02
1700-1800,Gelegenheitsschrift:Einweihung,27,155611,0.02
1700-1800,Gelegenheitsschrift:Krönung,27,155611,0.02
1700-1800,Satzung,27,155611,0.02
1700-1800,Anekdote,26,155611,0.02
1700-1800,Fiktionale Darstellung,26,155611,0.02
1700-1800,Gelegenheitsschrift:Tod|Lied,26,155611,0.02
1700-1800,Medizin|Chirurgie,26,155611,0.02
1700-1800,Psalter,26,155611,0.02
1700-1800,Verordnung|Landwirtschaft,26,155611,0.02
1700-1800,Gelegenheitsschrift:Tod|Libretto,25,155611,0.02
1700-1800,Edikt|Einblattdruck,24,155611,0.02
1700-1800,Verordnung|Edikt,24,155611,0.02
1700-1800,Gelegenheitsschrift:Sieg|Lyrik,23,155611,0.01
1700-1800,Lyrik|Liedersammlung,23,155611,0.01
1700-1800,Verordnung|Einblattdruck|Geldwesen,23,155611,0.01
1700-1800,Verordnung|Geldwesen,23,155611,0.01
1700-1800,Amtsdruckschrift|Tabelle,22,155611,0.01
1700-1800,Erlebnisbericht,22,155611,0.01
1700-1800,Gebetbuch|Erbauungsliteratur,22,155611,0.01
1700-1800,Gelegenheitsschrift:Neujahr|Lyrik,22,155611,0.01
1700-1800,Volksbuch,22,155611,0.01
1700-1800,Vorlesung,22,155611,0.01
1700-1800,Erbauungsliteratur|Gebetbuch,21,155611,0.01
1700-1800,Erbauungsliteratur|Predigtsammlung,21,155611,0.01
1700-1800,Leichenpredigtsammlung,21,155611,0.01
1700-1800,Lexikon,21,155611,0.01
1700-1800,Mandat,21,155611,0.01
1700-1800,Mathematik|Rechenbuch,21,155611,0.01
1700-1800,Bericht,20,155611,0.01
1700-1800,Flugschrift|Streitschrift:polit.,20,155611,0.01
1700-1800,Flugschrift|Streitschrift:theol.,20,155611,0.01
1700-1800,Gelegenheitsschrift:Abschied,20,155611,0.01
1700-1800,Gesellschaftsschrift,20,155611,0.01
1700-1800,Heiligenvita,20,155611,0.01
1700-1800,Judaicum,20,155611,0.01
1700-1800,Katalog,20,155611,0.01
1700-1800,Mechanik,20,155611,0.01
1700-1800,Roman|Briefsammlung,20,155611,0.01
1700-1800,Roman|Frauenliteratur,20,155611,0.01
1700-1800,Spiel,20,155611,0.01
1700-1800,Archäologie,19,155611,0.01
1700-1800,Gelegenheitsschrift:Sieg|Lied,19,155611,0.01
1700-1800,Kolportageliteratur|Lyrik|Lied,19,155611,0.01
1700-1800,Lyrik|Satire,19,155611,0.01
1700-1800,Medizin|Arzneibuch,19,155611,0.01
1700-1800,Rhetorik,19,155611,0.01
1700-1800,Roman|Bücheranzeige,19,155611,0.01
1700-1800,Universitätsprogramm|Gelegenheitsschrift:Gedenken|Gelegenheitsschrift:Krönung,19,155611,0.01
1700-1800,Verordnung|Amtsdruckschrift|Einblattdruck,19,155611,0.01
1700-1800,Anatomie,18,155611,0.01
1700-1800,Gelegenheitsschrift:Begrüßung,18,155611,0.01
1700-1800,Gelegenheitsschrift:Geburt,18,155611,0.01
1700-1800,Gelegenheitsschrift:Hochzeit|Lied,18,155611,0.01
1700-1800,Gelegenheitsschrift:Neujahr,18,155611,0.01
1700-1800,Gelegenheitsschrift:Tod|Einblattdruck,18,155611,0.01
1700-1800,Grammatik|Schulbuch,18,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Amtsantritt,18,155611,0.01
1700-1800,Medizin|Traktat,18,155611,0.01
1700-1800,Richtlinie,18,155611,0.01
1700-1800,Amtsdruckschrift|Kriegskunde,17,155611,0.01
1700-1800,Biographie|Gelegenheitsschrift:Tod,17,155611,0.01
1700-1800,Brief|Flugschrift,17,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Amtsantritt,17,155611,0.01
1700-1800,Schreibmeisterbuch,17,155611,0.01
1700-1800,Seuchenschrift,17,155611,0.01
1700-1800,Universitätsprogramm|Gelegenheitsschrift:Geburtstag,17,155611,0.01
1700-1800,Autobiographie,16,155611,0.01
1700-1800,Drama|Tragödie,16,155611,0.01
1700-1800,Flugschrift|Kolportageliteratur,16,155611,0.01
1700-1800,Gelegenheitsschrift:Geburtstag|Lied,16,155611,0.01
1700-1800,Gelegenheitsschrift:Gedenken|Predigt,16,155611,0.01
1700-1800,Gelegenheitsschrift:Tod|Leichenpredigt|Epikedeion,16,155611,0.01
1700-1800,Kolportageliteratur|Lyrik,16,155611,0.01
1700-1800,Lyrik|Subskribentenliste,16,155611,0.01
1700-1800,Multivolume Work,16,155611,0.01
1700-1800,Ordensliteratur,16,155611,0.01
1700-1800,Rezension,16,155611,0.01
1700-1800,Theaterstück,16,155611,0.01
1700-1800,Agende,15,155611,0.01
1700-1800,Einblattdruck|Edikt,15,155611,0.01
1700-1800,Einblattdruck|Verordnung|Geldwesen,15,155611,0.01
1700-1800,Gelegenheitsschrift:Friedensschluß,15,155611,0.01
1700-1800,Gelegenheitsschrift:Namenstag,15,155611,0.01
1700-1800,Praktik,15,155611,0.01
1700-1800,Rede|Gelegenheitsschrift,15,155611,0.01
1700-1800,Schäferdichtung,15,155611,0.01
1700-1800,Traktat|Streitschrift:theol.,15,155611,0.01
1700-1800,Universitätsprogramm,15,155611,0.01
1700-1800,Verordnung|Medizin,15,155611,0.01
1700-1800,Festbeschreibung,14,155611,0.01
1700-1800,Gelegenheitsschrift:Amtsantritt|Libretto,14,155611,0.01
1700-1800,Gelegenheitsschrift:Neujahr|Lyrik|Einblattdruck,14,155611,0.01
1700-1800,Gelegenheitsschrift:Tod|Predigt,14,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Abschied,14,155611,0.01
1700-1800,Satire|Lyrik,14,155611,0.01
1700-1800,Sprichwortsammlung,14,155611,0.01
1700-1800,Traktat|Bücheranzeige,14,155611,0.01
1700-1800,Biografie,13,155611,0.01
1700-1800,Einblattdruck|Geldwesen|Verordnung,13,155611,0.01
1700-1800,Erbauungsliteratur|Lyrik,13,155611,0.01
1700-1800,Flugschrift|Lyrik,13,155611,0.01
1700-1800,Gelegenheitsschrift:Geburtstag|Lyrik|Rede,13,155611,0.01
1700-1800,Geologie,13,155611,0.01
1700-1800,Kommentar: lit.,13,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Hochzeit,13,155611,0.01
1700-1800,Lyrik|Erbauungsliteratur,13,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Jubiläum,13,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Promotion,13,155611,0.01
1700-1800,Mineralogie,13,155611,0.01
1700-1800,Märchen,13,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Friedensschluß,13,155611,0.01
1700-1800,QuelleQuelle,13,155611,0.01
1700-1800,Ratgeber|Medizin,13,155611,0.01
1700-1800,Tabelle|Geldwesen,13,155611,0.01
1700-1800,Aphorismus,12,155611,0.01
1700-1800,Biographie|Bibliographie,12,155611,0.01
1700-1800,Brief|Streitschrift:theol.,12,155611,0.01
1700-1800,Einblattdruck|Amtsdruckschrift|Verordnung,12,155611,0.01
1700-1800,Enzyklopädie,12,155611,0.01
1700-1800,Erbauungsliteratur|Ordensliteratur:Jesuiten,12,155611,0.01
1700-1800,Freimaurerliteratur|Rede,12,155611,0.01
1700-1800,Gartenbau,12,155611,0.01
1700-1800,Gelegenheitsschrift:Fest|Libretto,12,155611,0.01
1700-1800,Gelegenheitsschrift:Namenstag|Lyrik,12,155611,0.01
1700-1800,Gelegenheitsschrift:Visitation,12,155611,0.01
1700-1800,Grammatik|Wörterbuch,12,155611,0.01
1700-1800,Kommentar,12,155611,0.01
1700-1800,Komödie|Drama,12,155611,0.01
1700-1800,Lied|Gelegenheitsschrift:Geburtstag,12,155611,0.01
1700-1800,Ordensliteratur:Benediktiner,12,155611,0.01
1700-1800,Roman|Satire,12,155611,0.01
1700-1800,Schulprogramm|Rede,12,155611,0.01
1700-1800,Verordnung|Kriegskunde,12,155611,0.01
1700-1800,Amtsdruckschrift|Einblattdruck|Verordnung,11,155611,0.01
1700-1800,Arzneibuch|Medizin,11,155611,0.01
1700-1800,Edikt|Amtsdruckschrift,11,155611,0.01
1700-1800,Entscheidungssammlung,11,155611,0.01
1700-1800,Epik|Lyrik,11,155611,0.01
1700-1800,Frauenliteratur|Roman,11,155611,0.01
1700-1800,Gelegenheitsschrift:Fest|Lyrik,11,155611,0.01
1700-1800,Gelegenheitsschrift:Tod|Gelegenheitsschrift:Gedenken,11,155611,0.01
1700-1800,Gelegenheitsschrift:Visitation|Lyrik,11,155611,0.01
1700-1800,Kirchenlied,11,155611,0.01
1700-1800,Leichenpredigt|Rede,11,155611,0.01
1700-1800,Lied|Lyrik,11,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Neujahr,11,155611,0.01
1700-1800,Medizin|Streitschrift,11,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Fest,11,155611,0.01
1700-1800,Regelsammlung,11,155611,0.01
1700-1800,Sage,11,155611,0.01
1700-1800,Satire|Streitschrift,11,155611,0.01
1700-1800,Schulbuch|Grammatik,11,155611,0.01
1700-1800,Streitschrift:polit.|Flugschrift,11,155611,0.01
1700-1800,Tierbuch,11,155611,0.01
1700-1800,Volksschrifttum|Kolportageliteratur,11,155611,0.01
1700-1800,Zeitschrift,11,155611,0.01
1700-1800,Briefsammlung|Reisebericht,10,155611,0.01
1700-1800,Chemie|Medizin,10,155611,0.01
1700-1800,Dissertation:jur.,10,155611,0.01
1700-1800,Erotische Literatur,10,155611,0.01
1700-1800,Freimaurerliteratur|Streitschrift,10,155611,0.01
1700-1800,Geldwesen|Tabelle,10,155611,0.01
1700-1800,Gelegenheitsschrift:Amtsantritt|Predigt,10,155611,0.01
1700-1800,Gelegenheitsschrift:Hochzeit|Libretto,10,155611,0.01
1700-1800,Gelegenheitsschrift:Sieg,10,155611,0.01
1700-1800,Gelegenheitsschrift|Gebet,10,155611,0.01
1700-1800,Kalender,10,155611,0.01
1700-1800,Leichenpredigt|Gelegenheitsschrift:Tod|Epikedeion,10,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Fest,10,155611,0.01
1700-1800,Lied|Gelegenheitsschrift:Tod,10,155611,0.01
1700-1800,Lyrik|Gesellschaftsschrift,10,155611,0.01
1700-1800,Mandat|Einblattdruck,10,155611,0.01
1700-1800,Mathematik|Schulbuch,10,155611,0.01
1700-1800,Medizin|Bücheranzeige,10,155611,0.01
1700-1800,Medizin|Handbuch,10,155611,0.01
1700-1800,Medizin|Seuchenschrift,10,155611,0.01
1700-1800,Medizin|Tiermedizin,10,155611,0.01
1700-1800,Novelle,10,155611,0.01
1700-1800,Panegyrikos,10,155611,0.01
1700-1800,Predigtsammlung|Erbauungsliteratur,10,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Einweihung,10,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Jubiläum,10,155611,0.01
1700-1800,Predigt|Gelegenheitsschrift:Sieg,10,155611,0.01
1700-1800,Rede|Flugschrift,10,155611,0.01
1700-1800,Rede|Gelegenheitsschrift:Jubiläum,10,155611,0.01
1700-1800,Reiseführer,10,155611,0.01
1700-1800,Streitschrift:jur.|Genealogie,10,155611,0.01
1700-1800,Tragödie|Bücheranzeige,10,155611,0.01
1700-1800,Verordnung|Einblattdruck|Amtsdruckschrift,10,155611,0.01
1700-1800,Verordnung|Gelegenheitsschrift:Jubiläum,10,155611,0.01
1700-1800,Amtsdruckschrift|Einblattdruck|Tabelle,9,155611,0.01
1700-1800,Archäologie|Altertumskunde,9,155611,0.01
1700-1800,Brief|Streitschrift,9,155611,0.01
1700-1800,Dissertation:theol.,9,155611,0.01
1700-1800,Einblattdruck|Gelegenheitsschrift:Tod,9,155611,0.01
1700-1800,Einblattdruck|Gelegenheitsschrift:Tod|Lyrik,9,155611,0.01
1700-1800,Einblattdruck|Lyrik,9,155611,0.01
1700-1800,Epikedeion|Leichenpredigt,9,155611,0.01
1700-1800,Erbauungsliteratur|Ordensliteratur,9,155611,0.01
1700-1800,Flugschrift|Brief,9,155611,0.01
1700-1800,Flugschrift|Satire,9,155611,0.01
1700-1800,Führer,9,155611,0.01
1700-1800,Gelegenheitsschrift:Gedenken|Lyrik,9,155611,0.01
1700-1800,Itinerar,9,155611,0.01
1700-1800,Katechismus|Erbauungsliteratur,9,155611,0.01
1700-1800,Komödie|Bücheranzeige,9,155611,0.01
1700-1800,Landwirtschaft|Hausväterliteratur,9,155611,0.01
1700-1800,Landwirtschaft|Zoologie,9,155611,0.01
1700-1800,Lesebuch,9,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Gedenken,9,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Namenstag,9,155611,0.01
1700-1800,Lyrik|Epik,9,155611,0.01
1700-1800,Lyrik|Frauenliteratur,9,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Sieg,9,155611,0.01
1700-1800,Medizin|Gynäkologie,9,155611,0.01
1700-1800,Mitgliederverzeichnis,9,155611,0.01
1700-1800,Ordensliteratur:Jesuiten|Streitschrift:theol.,9,155611,0.01
1700-1800,Pflanzenbuch,9,155611,0.01
1700-1800,Ratgeber|Hausväterliteratur,9,155611,0.01
1700-1800,Regesten,9,155611,0.01
1700-1800,Ars moriendi,8,155611,0.01
1700-1800,Biographie|Kriegskunde,8,155611,0.01
1700-1800,Drama|Libretto,8,155611,0.01
1700-1800,Drama|Schauspiel,8,155611,0.01
1700-1800,Einblattdruck|Verordnung|Amtsdruckschrift,8,155611,0.01
1700-1800,Epos,8,155611,0.01
1700-1800,Flugschrift|Gelegenheitsschrift:Sieg,8,155611,0.01
1700-1800,Freimaurerliteratur|Liedersammlung,8,155611,0.01
1700-1800,Gelegenheitsschrift:Gedenken|Biographie,8,155611,0.01
1700-1800,Gelegenheitsschrift:Tod|Rede|Lyrik,8,155611,0.01
1700-1800,Gesetz,8,155611,0.01
1700-1800,Gynäkologie|Handbuch,8,155611,0.01
1700-1800,Kommentar: polit.,8,155611,0.01
1700-1800,Kommentar:|theol.,8,155611,0.01
1700-1800,Landwirtschaft|Anleitung,8,155611,0.01
1700-1800,Libretto|Gelegenheitsschrift:Tod,8,155611,0.01
1700-1800,Lyrik|Epikedeion,8,155611,0.01
1700-1800,Lyrik|Gelegenheitsschrift:Visitation,8,155611,0.01
1700-1800,Mathematik|Geometrie,8,155611,0.01
1700-1800,Poetik,8,155611,0.01
1700-1800,Ratgeber|Tiermedizin,8,155611,0.01
1700-1800,Satire|Roman,8,155611,0.01
1700-1800,Sprachführer,8,155611,0.01
1700-1800,Streitschrift:theol.|Flugschrift,8,155611,0.01
1700-1800,Tabelle|Mathematik,8,155611,0.01
1700-1800,Tierbuch|Subskribentenliste,8,155611,0.01
1700-1800,Traktat|Gesellschaftsschrift,8,155611,0.01
1700-1800,Urkundenbuch,8,155611,0.01
1700-1800,Amtsdruckschrift|Flugschrift,7,155611,0.0
1700-1800,Architektur|Anleitung,7,155611,0.0
1700-1800,Bergbau,7,155611,0.0
1700-1800,Briefsammlung|Flugschrift,7,155611,0.0
1700-1800,Brief|Lyrik,7,155611,0.0
1700-1800,Brief|Traktat,7,155611,0.0
1700-1800,Buchbinderanweisung,7,155611,0.0
1700-1800,Edikt|Geldwesen,7,155611,0.0
1700-1800,Edikt|Verordnung,7,155611,0.0
1700-1800,Einblattdruck|Flugschrift,7,155611,0.0
1700-1800,Einblattdruck|Genealogie,7,155611,0.0
1700-1800,Flugschrift|Amtsdruckschrift,7,155611,0.0
1700-1800,Flugschrift|Einblattdruck,7,155611,0.0
1700-1800,Flugschrift|Streitschrift:jur.,7,155611,0.0
1700-1800,Gelegenheitsschrift:Amtsantritt|Universitätsprogramm,7,155611,0.0
1700-1800,Gelegenheitsschrift:Einladung|Gelegenheitsschrift:Geburtstag,7,155611,0.0
1700-1800,Gelegenheitsschrift:Einweihung|Libretto,7,155611,0.0
1700-1800,Gelegenheitsschrift:Friedensschluß|Libretto,7,155611,0.0
1700-1800,Gelegenheitsschrift:Geburtstag|Gelegenheitsschrift:Einladung,7,155611,0.0
1700-1800,Gelegenheitsschrift:Geburtstag|Rede,7,155611,0.0
1700-1800,Gelegenheitsschrift:Hochzeit|Rede,7,155611,0.0
1700-1800,Gelegenheitsschrift:Tod|Epikedeion|Lyrik,7,155611,0.0
1700-1800,Gelegenheitsschrift:Tod|Rede|Epikedeion,7,155611,0.0
1700-1800,Handbuch|Medizin,7,155611,0.0
1700-1800,Hausväterliteratur|Ratgeber,7,155611,0.0
1700-1800,Kommentar: theol.|Erbauungsliteratur,7,155611,0.0
1700-1800,Konsiliensammlung,7,155611,0.0
1700-1800,Libretto|Gelegenheitsschrift:Geburt,7,155611,0.0
1700-1800,Liedersammlung|Lyrik,7,155611,0.0
1700-1800,Medizin|Brief,7,155611,0.0
1700-1800,Musterbuch,7,155611,0.0
1700-1800,Ratgeber|Botanik,7,155611,0.0
1700-1800,Rede|Gelegenheitsschrift:Amtsantritt,7,155611,0.0
1700-1800,Rede|Schulprogramm,7,155611,0.0
1700-1800,Reisebericht|Briefsammlung,7,155611,0.0
1700-1800,Schauspiel|Bücheranzeige,7,155611,0.0
1700-1800,Schauspiel|Drama,7,155611,0.0
1700-1800,Schulprogramm|Gelegenheitsschrift:Einladung|Gelegenheitsschrift:Geburtstag|Geldwesen,7,155611,0.0
1700-1800,Schwank,7,155611,0.0
1700-1800,Streitschrift|Satire,7,155611,0.0
1700-1800,Tagebuch,7,155611,0.0
1700-1800,Tragödie|Drama,7,155611,0.0
1700-1800,Verzeichnis,7,155611,0.0
1700-1800,Wappenbuch,7,155611,0.0
1700-1800,Agende|Verordnung,6,155611,0.0
1700-1800,Amtsdruckschrift|Edikt,6,155611,0.0
1700-1800,Amtsdruckschrift|Geldwesen|Einblattdruck,6,155611,0.0
1700-1800,Amtsdruckschrift|Kommentar: jur.,6,155611,0.0
1700-1800,Anatomie|Medizin,6,155611,0.0
1700-1800,Astrologie,6,155611,0.0
1700-1800,Briefsammlung|Lyrik,6,155611,0.0
1700-1800,Chirurgie|Medizin,6,155611,0.0
1700-1800,Chronik|Biographie,6,155611,0.0
1700-1800,Drama|Satire,6,155611,0.0
1700-1800,Einblattdruck|Lyrik|Gelegenheitsschrift:Neujahr,6,155611,0.0
1700-1800,Entscheidungssammlung|Verordnung,6,155611,0.0
1700-1800,Erbauungsliteratur|Gebet,6,155611,0.0
1700-1800,Erbauungsliteratur|Katechismus,6,155611,0.0
1700-1800,Erzählung|Biographie,6,155611,0.0
